Title,Nazwa,Miejsce Realizacji Województwo,Grantobiorca Miejscowość,Grantobiorca Ulica,Grantobiorca Nr budynku,Grantobiorca Kod pocztowy,Wartość wsparcia
"Wprowadzenie usługi organizacji targów, wystaw i kongresów za pośrednictwemlub z użyciem przesyłania strumieniowego wraz z fizycznym i mobilnym studiemdo realizacji nagrań",JAROSŁAW KRYKWIŃSKI Agencja Promocji Eksportu,ŚLĄSKIE,Częstochowa,al. Aleja Najświętszej Maryi Panny,24,42-202,539329.04
"Dywersyfikacja działalności Sala Przyjęć Okolicznościowych „DAGA” Dagmara Jasińska o nowe usługi w regionie 4 obejmującym województwa łódzkie, opolskie i śląskie poprzez zakup środków trwałych i wartości niematerialnych i prawnych.","Sala Przyjęć Okolicznościowych ""DAGA"" Dagmara Jasińska",ŚLĄSKIE,Czarny Las,Częstochowska,262,42-233,304649.82
"""Śniadania i Cukiernicze Popisy z Wyspą Łakoci"". Region 4 woj. śląskie.",Wyspa Łakoci Jarosław Marut,ŚLĄSKIE,Gliwice,Krupnicza,12,44-100,97565.0
Dywersyfikacja i poszerzenie działalności restauracji w województwie śląskim poprzez inwestycję w przygotowanie obiektu do najmu krótkoterminowego jako szansę na uniezależnienie się od jednego profilu działalności.,PPUH LAZUR MOLENDA MARCIN,ŚLĄSKIE,Katowice,Mikołaja Kopernika,9,40-064,413910.72
Dywersyfikacja działalności Spółki w kierunku działalności restauracyjnej w celu zwiększenia odporności na gospodarcze sytuacje kryzysowe w województwie śląskim.,"STOŁÓWKA MAŁGORZATA SPÓŁKA CYWILNA KATARZYNA GÓRA-PŁOSKONKA, JAROSŁAW PŁOSKONKA",ŚLĄSKIE,Czechowice-Dziedzice,Legionów,244,43-502,414370.2
Dywersyfikacja działalności Spółki w kierunku usług poprawy kondycji fizycznej świadczonych w nowopowstałej strefie saun w województwie śląskim,"""GLOBAL"" Spółka z ograniczoną odpowiedzialnością",ŚLĄSKIE,Szczyrk,Beskidzka,40,43-370,416492.16
Rozszerzenie usług w przedsiębiorstwie Zapiecek Teresa Ewa Wączek o organizację imprez plenerowych w województwie opolskim.,ZAPIECEK TERESA EWA WĄCZEK,OPOLSKIE,Mirowszczyzna,,62,46-325,509480.61
Rozszerzenie działalności Hotelu Ambasador Centrum poprzez budowę saunarium z uwzględnieniem oddziaływania na środowisko naturalne związane z zastosowaniem systemu wysokosoprawnej mikrokogeneracji. Region łódzki.,CEGAL Artur Gawlik Marek Gawlik Spółka komandytowa,ŁÓDZKIE,Łódź,Kosynierów Gdyńskich,8,93-320,473921.0
"Rozszerzenie profilu dotychczasowej działalności przedsiębiorstwa ZACISZERESTAURACJA Z TRADYCJAMI MAREK RYGUŁA z siedzibą w województwieśląskim, powiecie pszczyńskim, gminie Pszczyna, miejscowości Brzeźce (kod pocztowy: 43-200), przy ul. Ofiar Faszyzmu 4 (Region 4 obejmujący województwa łódzkie,opolskie i śląskie) poprzez inwestycje w bazę usługowo-produkcyjną, podniesieniekwalifikacji pracowników oraz usługę doradczą na rzecz Jego rozwoju",ZACISZE RESTAURACJA Z TRADYCJAMI MAREK RYGUŁA,ŚLĄSKIE,Brzeźce,Ofiar Faszyzmu,4,43-200,450000.0
"Zakup wyposażenia gastronomicznego przez DIG Group Sp. z o. o w celu rozszerzenia i udoskonalenia oferty restauracji na terenie Regionu nr 4 obejmującego województwa: łódzkie, opolskie i śląskie",DIG GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ŚLĄSKIE,Wrocław,Tęczowa,20,53-702,412878.25
Wejście w nowe obszary działalności drogą do wzrostu konkurencyjności firmy na terenie województwa śląskiego oraz promocji województwa śląskiego i wyrobów regionalnych,"Rudolf Klimek, Przedsiębiorstwo Handlowo Usługowo Produkcyjne",ŚLĄSKIE,Rudy,Rogera,13,47-430,539999.98
Rozszerzenie działalności Karczmy Rajcula w Paniówkach (woj. śląskie) związane z wprowadzeniem nowych usług dla klientów. - REGION 4.,MAREK SZOŁTYSEK,ŚLĄSKIE,Paniówki,Gliwicka,2D,44-177,429350.61
Nowy wymiar Hotelu Krokus w Wiśle - region śląski,Przedsiębiorstwo KOMPOL Spółka z ograniczoną odpowiedzialnością,ŚLĄSKIE,Bielsko-Biała,Kazimierza Pułaskiego,4A,43-300,504000.0
Zakup sprzętu umożliwiającego dywersyfikację działalności cateringowej na terenie województwa śląskiego poprzez wprowadzenie nowych produktów dotąd nieświadczonych,CATERING ARTS EWELINA CZAJKA,ŚLĄSKIE,Chorzów,Hajducka,84,41-506,473833.53
Rozszerzenie działalności firmy KRUMIX ŁUKASZ KRUTAK w województwie opolskim,KRUMIX ŁUKASZ KRUTAK,OPOLSKIE,Głuchołazy,Aleja Jana Pawła II,38,48-340,506613.24
"Rozszerzenie profilu dotychczasowej działalności przedsiębiorstwa ""AUSTERIA""FRYDRYCH-LANGER SPÓŁKA JAWNA z siedzibą w województwie śląskim, powiecie pszczyńskim, gminie Pszczyna, miejscowości Ćwiklice (kod pocztowy: 43-229), przy ul. Męczenników Oświęcimskich 115 (Region 4 obejmujący województwa łódzkie, opolskie i śląskie) poprzez inwestycje w bazę usługowo-produkcyjną, podniesienie kwalifikacji pracowników oraz usługę doradczą na rzecz Jego rozwoju.","""AUSTERIA"" FRYDRYCH-LANGER SPÓŁKA JAWNA",ŚLĄSKIE,Ćwiklice,Męczenników Oświęcimskich,115,43-229,254205.6
Zwiększenie odporności Resortu Strzelnica z województwa śląskiego na sytuacje kryzysowe poprzez rozszerzenie oferowanych usług.,"""STRZELNICA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",ŚLĄSKIE,Kochcice,Lubliniecka,9,42-713,506489.7
"Adaptacja lokalu znajdującego się w Rybniku ,województwo śląskie na potrzeby stworzenia Bistro-Cafe-Wine- Bar Frykasy i wprowadzenie specjalistycznych cateringów.",Sensownie Dominika Dytko,ŚLĄSKIE,Rybnik,Jana III Sobieskiego,10,44-200,431949.84
Dywersyfikacja działalności Firmy BATI z regionu woj. śląskiego poprzez utworzenie marki Cafe by Korbasowy,Bożena Biernot ~BATI~,ŚLĄSKIE,Cieszyn,Hażlaska,135,43-400,479940.0
Dywersyfikacja działalności poprzez otwarcie pijalni soków i napojów drogą dozwiększenia odporności Spółki w województwie śląskim.,RNB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ŚLĄSKIE,Bielsko-Biała,Pocztowa,39,43-300,419638.46
"Zwiększenie odporności przedsiębiorstwa PUH ""BMT"" SPÓŁKA CYWILNA TADEUSZMACHURA, PAWEŁ BĘDKOWSKI, DAMIAN BĘDKOWSKI na sytuacje kryzysowe w wyniku rozszerzenia prowadzonej działalności (REGION 4: województwo śląskie)","PUH ""BMT"" SPÓŁKA CYWILNA TADEUSZ MACHURA, PAWEŁ BĘDKOWSKI, DAMIAN BĘDKOWSKI",ŚLĄSKIE,Brudzowice,Katowicka,10,42-470,120068.08
"Utrzymanie konkurencyjności firmy poprzez wdrożenie nowych, innowacyjnych usług rekreacyjnych oraz dodatkowych usług eventowych",Soja Agnieszka Glob-Net,ŚLĄSKIE,Będzin,11 Listopada,10,42-500,474000.0
"Dywersyfikacja i uodpornienie na przyszłe kryzysy prowadzonej działalności hotelowej poprzez unowocześnienie bazy usługowej w zakresie strefy basenowej, saun i masaży oraz uruchomienie świadczenia nowej usługi obejmującej Rytuał Rasul w hotelu zlokalizowanym w Szczyrku, woj. śląskie (Region 4)","""BESKID RESORT PROPERTIES"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",ŚLĄSKIE,Szczyrk,Wrzosowa,28A,43-370,479400.02
"Rozszerzenie oferty usług gastronomicznych w regionie Śląskim poprzez wdrożenie usług kateringowych, cyfryzację i ekoinnowacje.",Tauria Sp. z o.o.,ŚLĄSKIE,Katowice,al. Aleja Wojciecha Korfantego,2,40-004,468288.91
Dywersyfikacja działalności gastronomicznej Klubu Młyn na terenie województwaśląskiego - region 4,Klub Młyn Rafał Kulejewski,ŚLĄSKIE,Lubliniec,Plebiscytowa,43,42-700,443716.35
Dywersyfikacja działalności firmy poprzez otwarcie nowego mobilnego punktu gastronomicznego w województwie śląskim - region 4,WK TRADE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ŚLĄSKIE,Lubliniec,Oleska,20,42-700,413337.01
Wdrożenie nowych usług w Restauracji Bohema w Katowicach (woj. śląskie),Victus Tomasz Brzezina,ŚLĄSKIE,Katowice,Bratków,4,40-045,233472.69
Inwestycja w rozwój i uodpornienie na sytuacje kryzysowe działalności przedsiębiorstwa KMM Investments Sp. z o.o. realizowana w województwie śląskim,KMM INVESTMENTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ŚLĄSKIE,Gliwice,Jana Karola Chodkiewicza,33,44-100,394422.17
"Dywersyfikacja działalności Spółki z branży hotelarskiej poprzez wejście na nowy rynek usług gastronomicznych - usługi life cooking oraz przygotowanie i podawanie posiłków na wynos/ z dowozem, wsparta rozszerzeniem obecnej działalności w postaci organizacji turnusów wellness z life cooking coaching w celu zwiększenia odporności na gospodarcze sytuacje kryzysowe przedsiębiorstwa w województwie śląskim.",META INTERNATIONAL SPÓŁKA ZOGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ŚLĄSKIE,Szczyrk,Skośna,4,43-370,417617.74
"Przedsięwzięcie inwestycyjne w firmie FOOD & FUN sp. z o.o. polegające na rozszerzeniu i dywersyfikacji działalności w celu zwiększenia odporności na przyszłe kryzysy, realizowane Katowicach w regionie nr 4",FOOD & FUN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Śląskie,Poznań,Jana Długosza,25A,60-556,446527.75
"Udzielenie pomocy finansowej na przedsięwzięcia MŚP prowadzących mikro, małymi średnim przedsiębiorstwom prowadzącym działalność w sektorze hotelarstwa, gastronomii, turystyki lub kultury na realizację przedsięwzięć MŚP w ramach Inwestycji A1.2.1KPOz regionu nr 4 obejmującego województwa: łódzkie, opolskie, śląskie.","Nikola Rust-Olearczuk ""PARK-HOTEL""",OPOLSKIE,Dobrodzień,Parkowa,5,46-380,164015.11
"Przedsięwzięcie inwestycyjne w firmie FOOD & FUN TOMASZ FRIEDEL polegające na rozszerzeniu i dywersyfikacji działalności w celu zwiększenia odporności na przyszłe kryzysy, realizowane Katowicach w regionie nr 4",FOOD & FUN TOMASZ FRIEDEL,ŚLĄSKIE,Poznań,Stanisława Taczaka,11,61-819,436472.56
"Przedsięwzięcie inwestycyjne w firmie FOOD & FUN I sp. z o.o. polegające narozszerzeniu i dywersyfikacji działalności w celu zwiększenia odporności na przyszłekryzysy, realizowane Katowicach w regionie nr 4",FOOD & FUN I SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Śląskie,Poznań,Jana Długosza,25A,60-556,396398.01
"Dywersyfikacja działalności Hotelu Mościcki poprzez podjęcie działań inwestycyjnych, doradczych i szkoleniowych w ramach przedsięwzięcia realizowanego w województwie łódzkim (region 4).",PDK HOTELE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ŁÓDZKIE,Spała,Nadpiliczna,2,97-215,399033.18
Rozszerzenie działalności restauracji Markus w Kolonowskiem w województwie opolskim. poprzez uruchomienie nowych produktów i cyfryzacja systemu rejestracji gości do pokoi noclegowych - region 4.,RESTAURACJA MARKUS MARIAN OBLONG,OPOLSKIE,Kolonowskie,Krótka,8,47-110,419939.98
Dywersyfikacja działalności firmy poprzez wdrożenie usługi cateringu dedykowanego (Region nr 4),COTTONFOOD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ŁÓDZKIE,Łódź,Ogrodowa,19A,91-065,327337.31
Rozszerzenie i dywersyfikacja działalności Hotelu Shuma w celu zwiększeniaodporności na przyszłe kryzysy poprzez inwestycje w projekcie realizowane wDąbrowie Górniczej w województwie śląskim (Region 4),HOTEL SHUMA SPÓŁKA JAWNA LATOS,ŚLĄSKIE,Dąbrowa Górnicza,Żeglarska,20,41-303,320977.0
"Wzmocnienie odporności na wypadek kolejnych kryzysów poprzez podjęcie działań inwestycyjnych, doradczych i szkoleniowych przez firmę ""FREETIME POLAND"" AGATA TYMIŃSKA w ramach projektu realizowanego w województwie łódzkim (region 4) zmierzających do rozszerzenie działalności i wprowadzenia nowej usług.","""FREETIME POLAND"" AGATA TYMIŃSKA",ŁÓDZKIE,Rosanów,Letnia,5/9,95-100,413480.52
Rozszerzenie działalności firmy poprzez uruchomienie bazy noclegowej na tereniewojewództwa śląskiego,Judyta Makulik,ŚLĄSKIE,Raszczyce,Szkolna,1,47-435,539999.98
"Wdrożenie nowych usług związanych z organizacją targów, wystaw i kongresów dodziałalności firmy na terenie województwa śląskiego",''Brax-Ton'' R.J. Makulik Spółka Jawna,ŚLĄSKIE,Racibórz,Rynek,13,47-400,539999.99
"Nowy wymiar kompleksu ""Happy Hours"" - region śląski",Anna Kowalczyk Polish Adventure,ŚLĄSKIE,Bielsko-Biała,3 Maja,13,43-300,330989.04
Zakup innowacyjnego sprzętu multimedialnego w celu dywersyfikacji usług wbranży HoReCa (Region 4 – województwo śląskie),"BIURO PODRÓŻY ""ZATUR"" KATARZYNA WRÓBLEWSKA",ŚLĄSKIE,Zabrze,3 Maja,11a,41-800,539924.4
"Poszerzenie działalności obiektu ""Willa pod Starą Skocznią"" o usługi umożliwiające turystom poznawanie walorów przyrodniczo-krajoznawczych oraz atrakcji turystycznych w regionie woj. śląskiego miasto Wisła poprzez korzystanie z rowerów oraz ""zestawów górskiego piechura"" z uwzględnieniem potrzeb osób niepełnosprawnych.","KRAKOWIAK-MILER LUCYNA ""MAXIMA"" - TUR",ŚLĄSKIE,Wisła,Leśna,20,43-460,115084.03
"Zwiększenie odporności przedsiębiorstwa na kryzysy gospodarcze oraz wzmocnienie pozycji konkurencyjnej poprzez wprowadzenie w Regionie 4 w województwie śląskim dwóch nowych usług cateringu okolicznościowego i samodzielnego rezerwowania pokoju, meldowania, płatności i wymeldowania skutkujące dywersyfikacją i rozszerzeniem aktualnej działalności.",ODA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ŚLĄSKIE,Gliwice,Mazowiecka,44,44-100,520441.2
"Delikatesy Mojego Brata - rozszerzenie działalności restauracji o sprzedaż lokalnych produktów, półproduktów i przekąsek wsparte analizą biznesową, szkoleniami oraz niezbędnymi działaniami inwestycyjnymi, w tym również ekologicznymi i cyfrowymi",m-group s.c. MICHAŁ SOBOTA MATEUSZ SOBOTA,ŚLĄSKIE,Zawiercie,Józefa Piłsudskiego,91,42-400,293112.12
"Wzmocnienie odporności na wypadek kolejnych kryzysów poprzez podjęciedziałań inwestycyjnych, doradczych i szkoleniowych przez firmę "" ""CZARNYSTAW-PANDA BIS"" BEATA ANTCZAK w ramach projektu realizowanego w województwie łódzkim (region 4) zmierzających do rozszerzenie działalności iwprowadzenia nowych usług.","""Czarny Staw-Panda Bis"" BEATA ANTCZAK",ŁÓDZKIE,Nowy Adamów,,3,95-070,417109.62
Inwestycje w przedsiębiorstwie Take a Fruit sp. z o.o. w celu dywersyfikacji oraz rozszerzenia oferty w woj. śląskim.,TAKE A FRUIT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ŚLĄSKIE,Warszawa,Twarda,18,00-105,419045.53
Uruchomienie nowej usługi gastronomicznej w formie organizacji eventów plenerowych w województwie śląskim - catering na kółkach.,MAG-DRIVE MAGDALENA CISEK,ŚLĄSKIE,Bielsko-Biała,Strażacka,81,43-382,356584.5
Rozszerzenie działalności Karczmy WRAZIDLOK w Nieborowicach (woj. śląskie)związane z wprowadzeniem nowej oferty dla klientów. - REGION 4.,Karczma WRAZIDLOK Jacek Wojdyło,ŚLĄSKIE,Nieborowice,Kasztanowa,1,44-144,328695.38
"Rozszerzenie działalności przedsiębiorstwa Anna Lipińska OŚRODEK TURYSTYCZNO - REKREACYJNY W PRZYSIECZY na terenie województwa opolskiego, poprzez wprowadzenie nowych usług.",Anna Lipińska OŚRODEK TURYSTYCZNO - REKREACYJNY W PRZYSIECZY,OPOLSKIE,Przysiecz,Stawowa,2,46-060,539995.21
"Dywersyfikacja działalności Alfreda Perczak PPHU ""POL-TRANS-CATERING"" EXPORT-IMPORT w celu rozbudowy i umocnienie pozycji w branży HoReCa w województwie śląskim","Alfreda Perczak PPHU""POL-TRANS-CATERING"" EXPORT-IMPORT",ŚLĄSKIE,Mierzęcice,Osiedle,166,42-460,388885.56
Rozbudowa przedsiębiorstwa oraz wdrożenie nowych usług celem dywersyfikacjidziałalności podmiotu działającego w województwie śląskim,Anna Kliszewska Zakład Usługowo Handlowy POP - ART,ŚLĄSKIE,Częstochowa,Śląska,16,42-217,351072.99
Wzmocnienie pozycji konkurencyjnej przedsiębiorstwa Mała Osada poprzez dywersyfikację profilu działalności,MAŁA OSADA Beata Brylewska,ŚLĄSKIE,Szczyrk,Salmopolska,2E,43-370,280918.26
"Wzmocnienie odporności na wypadek kolejnych kryzysów poprzez podjęcie działań inwestycyjnych, doradczych i szkoleniowych przez firmę „WOJGAST Jakub Łukasik” w ramach projektu realizowanego w województwie łódzkim (region 4) zmierzających do zdywersyfikowania działalności i wprowadzenia nowej usługi.",WOJGAST Jakub Łukasik,ŁÓDZKIE,Pęczniew,Spacerowa,50,99-235,419359.26
Zwiedzanie na dwóch kółkach - uruchomienie nowej usługi turystycznej w województwie śląskim w formie wypożyczalni rowerów górskich celem zwiedzania okolic Bielska-Białej.,"Centrum Podróży S.C. Mariusz Owczarz, Dariusz Pala",ŚLĄSKIE,Bielsko-Biała,Ratuszowa,3,43-300,540000.0
Dywersyfikacja działalności w obszarze cateringu,Grzegorz Pońc,ŚLĄSKIE,Goleszów,Wiejska,22A,43-440,503320.0
"Wzmocnienie odporności na wypadek kolejnych kryzysów poprzez podjęcie działań inwestycyjnych, doradczych i szkoleniowych przez firmę Aleksandra KulawiakPrzedsiębiorstwo Handlowo-Usługowe ""ALEKSANDRA"" Kulawiak Aleksandra w ramach projektu realizowanego w województwie łódzkim (region 4) zmierzających do rozszerzenie działalności i wprowadzenia nowych usług.","Aleksandra Kulawiak PrzedsiębiorstwoHandlowo-Usługowe ""ALEKSANDRA""Kulawiak Aleksandra",ŁÓDZKIE,Wróblew,,9,98-285,378565.42
Wdrożenie całkowicie nowych dwóch usług do oferty firmy Anire2 w celu dokonania dywersyfikacji działalności na terenie województwa śląskiego,ANIRE2 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA JAWNA ,ŚLĄSKIE,Katowice,Henryka Mikołaja Góreckiego,13,40-204,419400.02
"Uruchomienie Nikkei Sushi Lab w centrum Bielska-Białej w województwie śląskim, serwującej dania Kuchni Nikkei, stanowiącej hybrydę japońskiej i peruwiańskiej tradycji kulinarnej.","STEK I WINO SPÓŁKA CYWILNA MARIUSZ OWCZARZ, DARIUSZ PALA",ŚLĄSKIE,Bielsko-Biała,Ratuszowa,3,43-300,540000.0
"Dywersyfikacja usług agencji turystycznej ""Sfinks"" poprzez dodanie do oferty wypożyczalni kajtów.","Urszula Karczmit ""SFINKS""",OPOLSKIE,Opole,Henryka Sienkiewicza,1,45-037,299783.98
Zakup nowatorskiego sprzętu multimedialnego w celu dywersyfikacji usług w branży HoReCa (Region 4 – województwo śląskie),FAF SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ŚLĄSKIE,Winowno,Opolska,71,42-350,538818.3
"Rozszerzenie oferty przedsiębiorstwa: ""Restauracja w Starym Młynie Karolina Burda"" o świadczenie usług noclegowych, udostepnienie kompletnego zaplecza do organizacji szkoleń/konferencji i uruchomienie sprzedaży lodów włoskich.",RESTAURACJA W STARYM MŁYNIE KAROLINA BURDA,ŚLĄSKIE,Zbrosławice,Wolności,28A,42-674,536767.62
"Zwiększenie odporności przedsiębiorstwa „Upojeni spółka z ograniczoną odpowiedzialnością” oraz rozszerzenie działalności gospodarczej przez wprowadzenie innowacyjnego autonomicznego azjatyckiego grilla, w restauracji azjatyckiej na terenie województwa śląskiego (region 4).",Upojeni spółka z ograniczoną odpowiedzialnością,ŚLĄSKIE,Katowice,św. Jana,10,40-012,403520.0
Dywersyfikacja działalności Spółki i wdrożenie nowych usług gastronomicznych i turystycznych mających na celu zwiększenie odporności na gospodarcze sytuacje kryzysowe przedsiębiorstwa działającego na terenie województwa śląskiego,"JULIAN GACZKOWSKI FIRMA ""AUTOTOM""",ŚLĄSKIE,Wisła,Wyzwolenia,104,43-460,357133.79
Dywersyfikacja oferty w firmie działającej w branży gastronomicznej w regionie nr4 - woj. śląskim poprzez realizację komponentu inwestycyjnego.,FAGO Rafał Czuchrowski,ŚLĄSKIE,Katowice,3 Maja,23,40-097,485040.0
